Delivery Date,Hour Ending,Settlement Point,RTM Price,DAM Price
2024-01-01,1,LZ_HOUSTON,12.51,15.79
2024-01-01,1,LZ_NORTH,13.76,16.34
2024-01-01,1,LZ_SOUTH,5.5,12.44
2024-01-01,1,LZ_WEST,14.95,26.93
2024-01-01,2,LZ_HOUSTON,15.65,16.81
2024-01-01,2,LZ_NORTH,15.79,17.07
2024-01-01,2,LZ_SOUTH,12.92,14.35
2024-01-01,2,LZ_WEST,15.93,28.04
2024-01-01,3,LZ_HOUSTON,16.06,16.76
2024-01-01,3,LZ_NORTH,16.06,16.81
2024-01-01,3,LZ_SOUTH,16.05,15.39
2024-01-01,3,LZ_WEST,16.06,30.44
2024-01-01,4,LZ_HOUSTON,17.71,17.39
2024-01-01,4,LZ_NORTH,17.71,17.1
2024-01-01,4,LZ_SOUTH,17.71,17.17
2024-01-01,4,LZ_WEST,17.71,32.32
2024-01-01,5,LZ_HOUSTON,20.5,19.0
2024-01-01,5,LZ_NORTH,20.5,18.89
2024-01-01,5,LZ_SOUTH,19.87,18.24
2024-01-01,5,LZ_WEST,20.5,33.87
2024-01-01,6,LZ_HOUSTON,24.28,21.4
2024-01-01,6,LZ_NORTH,24.28,21.58
2024-01-01,6,LZ_SOUTH,22.77,20.64
2024-01-01,6,LZ_WEST,24.28,35.38
2024-01-01,7,LZ_HOUSTON,27.57,24.22
2024-01-01,7,LZ_NORTH,27.57,24.13
2024-01-01,7,LZ_SOUTH,27.57,24.34
2024-01-01,7,LZ_WEST,27.57,37.25
2024-01-01,8,LZ_HOUSTON,27.9,28.39
2024-01-01,8,LZ_NORTH,27.9,29.0
2024-01-01,8,LZ_SOUTH,27.9,28.45
2024-01-01,8,LZ_WEST,27.9,45.68
2024-01-01,9,LZ_HOUSTON,68.65,22.67
2024-01-01,9,LZ_NORTH,68.65,23.33
2024-01-01,9,LZ_SOUTH,68.65,22.51
2024-01-01,9,LZ_WEST,68.65,28.13
2024-01-01,10,LZ_HOUSTON,21.76,19.54
2024-01-01,10,LZ_NORTH,21.76,19.76
2024-01-01,10,LZ_SOUTH,21.76,19.2
2024-01-01,10,LZ_WEST,21.76,19.75
2024-01-01,11,LZ_HOUSTON,22.93,18.49
2024-01-01,11,LZ_NORTH,22.93,18.49
2024-01-01,11,LZ_SOUTH,22.93,18.06
2024-01-01,11,LZ_WEST,22.93,18.62
2024-01-01,12,LZ_HOUSTON,21.3,17.9
2024-01-01,12,LZ_NORTH,21.3,17.9
2024-01-01,12,LZ_SOUTH,21.3,17.43
2024-01-01,12,LZ_WEST,21.3,17.97
2024-01-01,13,LZ_HOUSTON,20.7,16.55
2024-01-01,13,LZ_NORTH,21.07,16.55
2024-01-01,13,LZ_SOUTH,20.45,16.55
2024-01-01,13,LZ_WEST,21.37,16.62
2024-01-01,14,LZ_HOUSTON,18.08,14.46
2024-01-01,14,LZ_NORTH,18.08,14.46
